Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 125.0.0.0,,,11-06-2024 13:35:17,11-06-2024 13:36:25,1m - 8.121s,PASSED
,,,,,,,
Test Cases/User Management - Master User/Open Master User,Chrome 125.0.0.0,,,11-06-2024 13:35:17,11-06-2024 13:36:18,1m - 1.046s,PASSED
"openBrowser(""http://206.189.158.91:8080/sparepart-factory-cms/login.zul"")",Chrome 125.0.0.0,,,11-06-2024 13:35:17,11-06-2024 13:35:50,32.558s,PASSED
"setText(findTestObject(""login mascot/1. input username""), ""sadm001"")",Chrome 125.0.0.0,,,11-06-2024 13:35:50,11-06-2024 13:35:51,0.871s,PASSED
"setText(findTestObject(""login mascot/2. input password""), ""Abc123!"")",Chrome 125.0.0.0,,,11-06-2024 13:35:51,11-06-2024 13:35:51,0.695s,PASSED
"click(findTestObject(""login mascot/3. klik button login""))",Chrome 125.0.0.0,,,11-06-2024 13:35:51,11-06-2024 13:35:52,0.370s,PASSED
delay(1),Chrome 125.0.0.0,,,11-06-2024 13:35:52,11-06-2024 13:35:53,1.051s,PASSED
"click(findTestObject(""User Management - Master User/Master User""))",Chrome 125.0.0.0,,,11-06-2024 13:35:53,11-06-2024 13:36:16,23.168s,PASSED
delay(2),Chrome 125.0.0.0,,,11-06-2024 13:36:16,11-06-2024 13:36:18,2.012s,PASSED
,,,,,,,
Test Cases/User Management - Master User/Search by Name,Chrome 125.0.0.0,,,11-06-2024 13:36:18,11-06-2024 13:36:25,6.882s,PASSED
"setText(findTestObject(""User Management - Master User/Search by Name""), ""114 MOTOR"")",Chrome 125.0.0.0,,,11-06-2024 13:36:18,11-06-2024 13:36:23,4.408s,PASSED
"click(findTestObject(""User Management - Master User/User Management - Click Button Search""))",Chrome 125.0.0.0,,,11-06-2024 13:36:23,11-06-2024 13:36:23,0.346s,PASSED
delay(2),Chrome 125.0.0.0,,,11-06-2024 13:36:23,11-06-2024 13:36:25,2.006s,PASSED
